date,time,subject
2003-03-05,21:31:54,running the classifier from the command line
2003-03-06,15:39:14,Re: [Fwd: J48 question]
2003-03-06,15:51:11,running the classifier from the command line
2003-03-05,22:11:40,running the classifier from the command line
2003-03-06,16:17:59,running the classifier from the command line
2003-03-05,23:18:11,install java in linux
2003-03-06,09:01:21,install java in linux
2003-03-06,11:47:49,install java in linux
2003-03-07,04:07:07,Help about output file with EM Clustering Model..
2003-03-06,16:59:54,Help about output file with EM Clustering Model..
2003-03-07,09:25:43,Help about output file with EM Clustering Model..
2003-03-06,19:31:16,class probability
2003-03-07,12:56:48,OneR in Weka
2003-03-07,09:14:11,Help about output file with EM Clustering Model..
2003-03-07,09:53:09,NN processing time
2003-03-07,12:13:49,NN processing time
2003-03-07,09:15:36,Re: NN processing time
2003-03-07,10:25:46,NN processing time
2003-03-09,18:11:23,Dotty representation of trees
2003-03-10,08:08:40,Dotty representation of trees
2003-03-07,15:27:40,where can I get source
2003-03-10,10:36:19,where can I get source
2003-03-10,11:11:17,Clustering EM
2003-03-10,09:49:42,JRip - RIPPER in Weka!
2003-03-10,10:39:05,OneR in Weka
2003-03-10,19:50:15,(no subject)
2003-03-10,13:50:02,NN processing time
2003-03-10,14:08:23,NN processing time
2003-03-10,12:11:45,Not sure what exactly to do...
2003-03-10,16:12:28,Not sure what exactly to do...
2003-03-11,13:38:08,Not sure what exactly to do...
2003-03-11,14:14:03,Not sure what exactly to do...
2003-03-11,09:16:01,Not sure what exactly to do...
2003-03-11,09:16:58,(no subject)
2003-03-11,02:42:32,=?iso-8859-1?Q?how_to_choose_the_best_decision_tree_model=3F?=
2003-03-11,15:48:45,Re: JRip - RIPPER in Weka!
2003-03-10,22:18:40,ID3 command line
2003-03-10,21:52:53,Disabling generators on ResultProducer property changes
2003-03-11,15:21:46,ID3 command line
2003-03-10,23:40:38,ID3 command line
2003-03-11,05:43:00,SVM-Light
2003-03-11,06:55:44,Getting the cross validation value
2003-03-11,18:01:59,Memory limits on SMO/Weka
2003-03-12,08:44:53,SVM in Java Program
2003-03-12,10:22:51,SVM in Java Program
2003-03-13,14:32:10,SVM in Java Program
2003-03-13,16:27:33,Multiple classes on Weka
2003-03-14,01:07:48,download problems for WEKA
2003-03-14,14:38:19,Compile time error in SMO
2003-03-14,14:56:58,Compile time error in SMO
2003-03-14,18:01:02,Compile time error in SMO
2003-03-17,01:56:49,About Weka and j48
2003-03-17,11:58:00,What about SMO for numerical output?
2003-03-17,09:54:47,What about SMO for numerical output?
2003-03-18,13:16:04,Re: About Weka and j48
2003-03-18,14:17:37,What about SMO for numerical output?
2003-03-17,20:48:37,Clustering
2003-03-18,14:38:00,Clustering
2003-03-18,21:33:07,J48 modification
2003-03-18,11:29:48,Date in arff file
2003-03-19,08:52:40,OneR in Weka
2003-03-19,09:12:15,Date in arff file
2003-03-19,17:09:41,algorithm
2003-03-20,09:20:06,Date in arff file
2003-03-21,00:37:47,About  j48
2003-03-20,11:57:34,X vs. not X classifiers in SMO?
2003-03-20,10:21:46,X vs. not X classifiers in SMO?
2003-03-20,17:34:32,Question about encoding of test file data
2003-03-21,09:57:00,Question about encoding of test file data
2003-03-21,22:23:57,Again Compile time error in SMO
2003-03-22,19:39:47,Logistic Regression
2003-03-22,19:40:17,Linear Discriminant Analysis
2003-03-22,22:56:27,Linear Discriminant Analysis
2003-03-23,13:37:29,Train and test set are not compatible
2003-03-23,13:37:30,Can't find public property editor
2003-03-23,11:26:09,AW: Linear Discriminant Analysis
2003-03-24,07:57:03,Can't find public property editor
2003-03-23,15:41:51,Can't find public property editor
2003-03-23,20:19:58,AW: Linear Discriminant Analysis
2003-03-24,14:08:29,Logistic Regression
2003-03-23,18:29:58,Logistic Regression
2003-03-24,14:06:49,Incorrectly classified data
2003-03-24,11:52:07,How to connect to a MySql Database?
2003-03-24,10:52:55,Bug in RemoveWithValues
2003-03-24,10:55:39,Bug in OneRAttributeEval
2003-03-24,10:57:47,Weka development?
2003-03-25,10:02:34,How to connect to a MySql Database?
2003-03-25,14:06:19,Bug in RemoveWithValues
2003-03-24,17:44:20,Re: Bug in OneRAttributeEval
2003-03-25,14:26:36,SMO.weights()
2003-03-25,17:44:20,How to connect to a MySql Database?
2003-03-25,23:56:09,How to connect to a MySql Database?
2003-03-25,21:19:16,WEKA Experiment Environment
2003-03-26,12:23:38,Regarding - Starting problem !!!!
2003-03-26,17:19:40,document set dispersion
2003-03-26,14:58:30,FW: new utility methods for SMO
2003-03-26,22:17:48,Re: -p option with Naive Bayes?
2003-03-26,16:57:41,J48 Decision Tree
2003-03-27,07:50:10,WEKA 3-2-3
2003-03-27,10:18:54,WEKA 3-2-3
2003-03-26,17:39:06,Weighting Instances
2003-03-26,18:07:43,Regarding - Starting problem !!!!
2003-03-27,21:06:00,Two questions about weka
2003-03-28,11:24:10,Weighting Instances
2003-03-28,16:13:31,Two questions about weka
2003-03-28,16:13:02, 	different randomized data partitions in hold-out runs in Weka?
2003-03-28,19:13:13,Two questions about weka
2003-03-29,20:43:03,Two questions about weka
2003-03-29,10:26:26,Two questions about weka
2003-03-31,10:45:13,M5Prime 
2003-03-31,14:13:00,overfitting?
2001-10-02,16:58:45,Linear algorithms for Stacking Level-1 generalizer
2001-10-06,07:47:43,Wekalist -- confirmation of subscription -- request 432491
2001-10-15,05:34:15,[WEKA] bug in AttributeTypeFilter
2001-10-15,11:25:53,[WEKA] bug in AttributeTypeFilter
2001-10-23,10:13:53,getting domain values for numeric attribute
2001-10-24,13:38:01,getting domain values for numeric attribute
2001-10-23,17:35:21,problem using NeuralNetwork
2001-10-29,17:09:14,help on add a new classifier in weka
2001-10-29,17:30:42,help on add a new classifier in weka
2003-06-30,09:54:14,decision tree: default classification
2003-06-30,11:30:50,Apriori
2003-07-01,10:27:41,completeness and correctness
2003-07-01,00:10:26,completeness and correctness
2003-07-01,09:17:10,memory problems
2003-07-01,20:46:21,weka.classifiers.MultiScheme
2003-07-02,20:40:08,pruning schemes 
2003-07-04,00:26:48,Data in ARFF
2003-07-08,14:01:38, 	Problems comparing Weka classifiers vs non-weka classifiers....
2003-07-08,11:55:07,crossValidation problem
2003-07-08,18:58:42,Error on Explorer when trying to use different files for 	training/testing...
2003-07-09,14:28:24,crossValidation problem
2003-07-08,22:58:25,how to use the models which have been trained in Java
2003-07-09,08:26:52,Applets?
2003-07-09,13:53:19,crossValidation problem
2003-07-09,21:36:01,Applets?
2003-07-09,12:25:23,crossValidation problem
2003-07-10,17:05:07,Applets?
2003-07-10,17:06:47,crossValidation problem
2003-07-13,11:41:11,LVQ Weka Implementation Here
2003-07-14,20:21:20,synthetic data generation
2003-07-14,21:13:01,null values
2003-07-14,22:00:07,interestingness measurments 
2003-07-15,13:54:14,synthetic data generation
2003-07-16,11:27:49,request for information about Kstar Algorithm
2003-07-17,10:00:56,SVM Question??
2003-07-16,21:13:48,Converting Java to Other Languages
2003-07-17,16:04:01,request for information about Kstar Algorithm
2003-07-17,15:33:15,A typical example of over-fitting?
2003-07-18,09:03:55,A typical example of over-fitting?
2003-07-18,13:30:39,query about tree observation
2003-07-18,13:38:05,query about extracting models for continuous iterations
2003-07-18,15:06:28,A typical example of over-fitting?
2003-07-18,15:33:22,CVS download
2003-07-18,17:22:25,query about extracting models for continuous 	iterations
2003-07-18,08:32:40,A typical example of over-fitting?
2003-07-18,09:02:53,A typical example of over-fitting?
2003-07-18,18:33:45,query about tree observation
2003-07-18,20:53:37,CVS download
2003-07-19,11:06:17,CN2 and AQ
2003-07-19,22:46:05,OutofMemery error
2003-07-20,08:17:44,Machine learning Vs LDA for Classification
2003-07-20,09:54:52,Machine learning Vs LDA for Classification
2003-07-21,06:57:15,Machine learning Vs LDA for Classification
2003-07-21,06:59:51,Machine learning Vs LDA for Classification
2003-07-19,17:23:02,source code of decision trees in weka
2003-07-19,22:18:11,question about weka
2003-07-21,11:07:56,memory problems
2003-07-21,08:43:05,Machine learning Vs LDA for Classification
2003-07-21,13:18:20,Machine learning Vs LDA for Classification
2003-07-21,09:56:43,Machine learning Vs LDA for Classification
2003-07-21,17:54:25,Extract informations from Weka to Excel ??
2003-07-22,07:14:00,Machine learning Vs LDA for Classification
2003-07-21,14:30:37,Bagging output
2003-07-22,06:11:16,WEKA and Large data sets
2003-07-22,13:12:40,LDA-ML
2003-07-23,04:23:26,OutofMemery error
2003-07-23,04:28:54,question about weka
2003-07-22,01:06:14,ML vs. statistics
2003-07-23,17:29:23,buildClassifier method
2003-07-24,08:36:57,Question about Principal Component Analysis
2003-07-24,09:07:28,Question about Principle Component Analysis
2003-07-24,09:07:36,Question about Principle Component Analysis
2003-07-25,11:29:19,Question about Principal Component Analysis
2003-07-25,17:58:01,query about extracting models for continuous 	iterations
2003-07-25,14:32:17,problems with cobweb
2003-07-25,19:45:34,Model tree M5Prime: distribution and graph?
2003-07-26,13:16:27,Problem with the testing set
2003-07-26,14:12:15,Problem with classification of  unlabelled instances
2003-07-26,18:52:16,Problem with classification of  unlabelled instances
2003-07-26,15:27:39,Problem with classification of  unlabelled instances
2003-07-27,18:58:59,query about set input model option
2003-07-28,17:06:23,string attribute
2003-07-28,17:18:06,weka for agriculture application
2003-07-28,09:02:13,Help for ARFF
2003-07-28,11:57:28,Help for ARFF
2003-07-28,11:59:45,Help for ARFF
2003-07-29,09:30:53,Help for ARFF
2003-07-28,16:50:03,problems with Cobweb Clustering
2003-07-28,16:05:09,attribute types
2003-07-29,11:19:00,string attribute
2003-07-29,09:39:40,string attribute
2003-07-29,16:54:51,Text Mining in Weka
2003-07-29,13:56:20,Text Mining in Weka
2003-07-29,09:41:03, 	How to set base classifier options when using a Meta classifier in 	command line interface?
2003-07-29,10:03:49,weka for agriculture application
2003-07-29,14:46:35,weka for agriculture application
2003-07-30,08:09:31,string attribute
2003-07-29,19:29:34,probs 
2003-07-29,19:11:39,probs
2003-07-30,14:06:19, 	Building models with neural network classifier from Command line
2003-07-30,14:18:45,Documentation on Weka classifiers .....
2003-07-30,16:49:54,Please help understand neural network prediction output
2003-07-30,16:50:08,Please help understand neural network prediction output
2003-07-30,11:35:01,How to set base classifier options when using a Meta 	classifier incommand line interface?
2003-07-30,20:44:50,Prediction with Neural Network Classifier
2003-07-30,04:10:34,Interpret M5 model tree output
2003-07-30,13:32:03,Interpret M5 model tree output
2003-07-30,05:20:26,Interpret M5 model tree output
2003-07-30,14:14:24,synthetic data generation
2003-07-30,14:15:43,CN2 and AQ
2003-07-30,15:02:56,Need to calculate the distance of instances
2003-07-31,16:53:17,Text Mining in Weka
2003-07-30,14:17:53,Documentation oh WEKA classifiers
2006-05-31,14:02:13,Distance matrix
2006-05-31,15:01:05,treat different classes as same
2006-05-31,13:39:55,Cross-Validation
2006-06-01,07:28:32,Gain ratio in C4.5
2006-06-01,07:47:27,cLI - Apriori execution error
2006-06-01,09:51:48,Re: 
2006-06-01,09:57:12,Distance matrix
2006-06-01,10:02:20,treat different classes as same
2006-06-01,10:04:28,Re: cLI - Apriori execution error
2006-06-01,10:13:15,RE: Running Apriori algorithm from the command line
2006-06-01,10:24:46,Cross-Validation
2006-06-01,10:38:20,Naive Bayes Threshold
2006-06-01,12:23:35,Re:
2006-05-31,23:23:42,Re: Editing an experiment file
2006-06-01,14:23:03,How to specify a new test set?
2006-06-01,16:30:16,How to specify a new test set?
2006-06-01,12:22:16,Out Of Bag error rate Vs Cross Validation error
2006-06-01,01:12:55,Re:Re: Naive Bayes Threshold (Peter Reutemann)
2006-06-01,05:43:36,imbalanced data sets
2006-06-09,11:53:37,imbalanced data sets
2006-06-01,15:37:09,weka.classifiers.Evaluation
2006-06-02,10:01:54,Re:Re: Naive Bayes Threshold (Peter Reutemann)
2006-06-02,10:34:36,weka.classifiers.Evaluation
2006-06-01,15:48:45,asking about visulaization
2006-06-02,10:54:31,asking about visulaization
2006-06-02,11:01:21,Re: Editing an experiment file
2006-06-02,01:02:27,Cross-Validation
2006-06-02,17:23:25,Re: Thanks :-)
2006-06-02,09:47:01,weka.classifiers.Evaluation.setPriors(Instances data)
2006-06-02,05:51:12,imbalanced data sets
2006-06-02,11:52:11,imbalanced data sets
2006-06-02,11:34:46,Re: Re:Re: Naive Bayes Threshold 
2006-06-02,11:43:25,does weka draw more than one ROC on the same plot
2006-06-03,14:43:01,does weka draw more than one ROC on the same plot
2006-06-03,01:08:15,what is bagging & boosting with j48
2006-06-03,04:32:59,FilteredClassifier error
2006-06-03,08:40:25,boostrap estimation
2006-06-03,08:41:17,Out Of Bag error rate Vs Cross Validation error
2006-06-04,13:46:52,FilteredClassifier error
2006-06-04,13:49:20,what is bagging & boosting with j48
2006-06-04,13:56:10,weka.classifiers.Evaluation.setPriors(Instances data)
2006-06-04,04:28:51,Adaboost and recompile Weka
2006-06-04,14:28:11,How to specify a new test set?
2006-06-05,13:24:53,what is bagging & boosting with j48
2006-06-05,13:25:50,AUC measurements from command line
2006-06-05,13:31:50,Adaboost and recompile Weka
2006-06-05,13:35:19,How to specify a new test set?
2006-06-05,13:39:47,AUC measurements from command line
2006-06-05,14:37:17,Re: recompiling Weka
2006-06-05,14:40:05,AUC measurements from command line
2006-06-05,14:51:18,AUC measurements from command line
2006-06-05,15:48:16,AUC measurements from command line
2006-06-05,11:01:43,EM and Kmeans algorithm
2006-06-05,04:08:48,Generate existing DB
2006-06-05,05:50:31,boostrap estimation
2006-06-06,08:26:22,Generate existing DB
2006-06-06,09:03:10,boostrap estimation
2006-06-06,11:39:35,Re: any other possible error / solution
2006-06-06,11:48:01,Re: any other possible error / solution
2006-06-06,11:49:24,Re: any other possible error / solution
2006-06-06,12:02:32,Re: any other possible error / solution
2006-06-06,15:59:37,EM and Kmeans algorithm
2006-06-06,11:49:27,R: Generate existing DB
2006-06-06,12:02:00,Ordinal Data Sets Wanted
2006-06-07,08:29:12,R: Generate existing DB
2006-06-07,14:27:32,Random Forest OOB error values on CVS
2006-06-07,09:21:07,"Multi Layer Perceptron : multiple outputs, 	multiples hidden layers"
2006-06-07,12:40:30,Weka DB
2006-06-07,18:52:08,NaiveBayes Binomial
2006-06-08,08:37:37,Weka DB
2006-06-08,08:48:25,Random Forest OOB error values on CVS
2006-06-08,09:25:08,Re: Recommended Solution
2006-06-08,09:57:40,NaiveBayes Binomial
2006-06-07,23:25:36,recompiled WEKA: popup tree list of classifiers to be 	chosen is eMPtY
2006-06-08,18:37:39,recompiled WEKA: popup tree list of classifiers to 	be	chosen is eMPtY
2006-06-08,14:38:18,Random Forest OOB error values on CVS
2006-06-08,08:59:41,How to display the generated model?
2006-06-09,08:37:02,Random Forest OOB error values on CVS
2006-06-09,09:30:16,How to display the generated model?
2006-06-09,10:04:29,"Multi Layer Perceptron : multiple outputs,	multiples 	hidden layers"
2006-06-09,10:40:14,setting Attribute value
2006-06-09,21:03:02,setting Attribute value
2006-06-09,18:30:22,Problem with mining Class Association Rules
2006-06-10,10:41:01,Problem with mining Class Association Rules
2006-06-10,00:55:29,Problem with mining Class Association Rules
2006-06-10,18:34:15,Problem with mining Class Association Rules
2006-06-10,13:02:05,low cost classifiers
2006-06-10,10:38:35,low cost classifiers
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:21:11,Using Experimenter
2006-06-11,11:21:11,Using Experimenter
2006-06-11,11:21:11,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:21:11,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:21:11,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
2006-06-11,11:12:19,Using Experimenter
